City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,smara,26.7384,-11.6719,19.65,64,0,7.28,EH,2024-06-11
231,kloulklubed,7.0419,134.2556,26.28,75,100,2.31,PW,2024-06-11
232,margate,51.3813,1.3862,11.5,79,95,0.45,GB,2024-06-11
233,two rivers,44.1539,-87.5693,16.88,87,100,4.12,US,2024-06-11
234,port lincoln,-34.7333,135.8667,13.75,88,58,4.18,AU,2024-06-11
235,port douglas,-16.4833,145.4667,20.13,77,28,1.64,AU,2024-06-11
236,mossel bay,-34.1831,22.146,14.96,84,3,2.35,ZA,2024-06-11
237,takoradi,4.8845,-1.7554,25.52,82,60,3.37,GH,2024-06-11
238,necochea,-38.5473,-58.7368,11.55,68,49,3.58,AR,2024-06-11
239,priozersk,61.0393,30.1291,14.97,91,79,2.42,RU,2024-06-11
240,sena madureira,-9.0656,-68.6569,28.29,65,96,0.64,BR,2024-06-11
241,iquique,-20.2208,-70.1431,18.02,83,50,3.52,CL,2024-06-11
242,kurumkan,54.3,110.3,13.4,92,100,1.79,RU,2024-06-11
243,geraldton,-28.7667,114.6,16.23,94,40,1.03,AU,2024-06-11
244,tiquipaya,-17.3382,-66.2189,20.4,17,11,1.54,BO,2024-06-11
245,tofol,5.3248,163.0078,27.88,89,100,5.14,FM,2024-06-11
246,pitimbu,-7.4706,-34.8086,25.33,86,15,4.99,BR,2024-06-11
247,vorgashor,67.5833,63.95,5.45,69,42,3.28,RU,2024-06-11
248,joao pinheiro,-17.7425,-46.1725,21.4,45,0,3.29,BR,2024-06-11
249,vorkuta,67.5,64.0,5.62,69,48,3.13,RU,2024-06-11
250,zambezi,-13.5432,23.1047,11.95,49,0,2.77,ZM,2024-06-11
251,anori,-3.7728,-61.6442,26.92,82,37,0.5,BR,2024-06-11
252,huron,41.1501,-82.5499,22.69,39,37,3.12,US,2024-06-11
253,khairpur nathan shah,27.0936,67.7337,35.02,42,0,6.01,PK,2024-06-11
254,mil'kovo,55.6078,37.7956,19.27,97,98,2.6,RU,2024-06-11
255,mata-utu,-13.2816,-176.1745,27.6,77,26,4.82,WF,2024-06-11
256,namibe,-15.1961,12.1522,20.19,78,1,1.03,AO,2024-06-11
257,pangody,65.85,74.4859,8.06,81,73,3.53,RU,2024-06-11
258,al mijlad,11.0333,27.7333,28.98,51,100,0.76,SD,2024-06-11
259,college,64.8569,-147.8028,21.99,62,75,3.6,US,2024-06-11
260,el obeid,13.1842,30.2167,28.94,55,29,6.45,SD,2024-06-11
261,rio grande,-32.035,-52.0986,18.06,93,100,5.3,BR,2024-06-11
262,tsiombe,-25.3,45.4833,18.81,79,95,5.56,MG,2024-06-11
263,leava,-14.3,-178.1667,27.07,76,66,7.5,WF,2024-06-11
264,dalnerechensk,45.9339,133.7225,16.84,97,100,1.42,RU,2024-06-11
265,arkhangel'sk,64.5401,40.5433,12.85,100,20,2.0,RU,2024-06-11
266,broken hill,-31.95,141.4333,9.64,88,2,4.1,AU,2024-06-11
267,kailua-kona,19.6406,-155.9956,29.6,73,40,4.63,US,2024-06-11
268,enewetak,11.3474,162.3373,28.16,80,93,8.99,MH,2024-06-11
269,nazira,26.9167,94.7333,25.79,88,3,1.01,IN,2024-06-11
270,strugi-krasnyye,58.2675,29.1114,11.56,75,38,2.38,RU,2024-06-11
271,chincha alta,-13.4099,-76.1323,17.33,74,96,1.86,PE,2024-06-11
272,suva,-18.1416,178.4415,24.71,88,40,1.03,FJ,2024-06-11
273,port saint john's,-31.6229,29.5448,16.74,58,81,2.97,ZA,2024-06-11
274,kargasok,59.0556,80.8572,14.42,84,100,3.13,RU,2024-06-11
275,schwedt (oder),53.0596,14.2815,11.47,92,6,4.45,DE,2024-06-11
276,gulf shores,30.246,-87.7008,35.16,58,20,4.63,US,2024-06-11
277,ilek,51.5271,53.3831,19.92,61,10,3.17,RU,2024-06-11
278,nouna,12.7333,-3.8667,34.21,39,74,3.86,BF,2024-06-11
279,broome,42.2506,-75.833,17.57,82,100,1.54,US,2024-06-11
280,saham,24.1722,56.8886,36.01,38,0,1.3,OM,2024-06-11
281,lewistown,40.5992,-77.5714,21.31,78,100,0.0,US,2024-06-11
282,boiling springs,35.0465,-81.9818,29.92,40,0,0.0,US,2024-06-11
283,hue,16.4667,107.6,28.06,78,20,1.54,VN,2024-06-11
284,vila franca do campo,37.7167,-25.4333,18.27,99,55,1.67,PT,2024-06-11
285,susuman,62.7833,148.1667,9.43,52,10,1.79,RU,2024-06-11
286,padang,-0.9492,100.3543,25.03,80,100,1.65,ID,2024-06-11
287,pajapita,14.7167,-92.0333,30.81,87,100,4.89,GT,2024-06-11
288,kerikeri,-35.2268,173.9474,12.17,92,1,0.89,NZ,2024-06-11
289,tamanrasset,22.785,5.5228,27.95,9,0,3.09,DZ,2024-06-11
290,bargarh,21.3333,83.6167,32.79,43,70,0.78,IN,2024-06-11
